source,target,type
5141073637181801,6195088696542157,undirected
3370272052850194,6331316797695305,undirected
5151065642581544,8667477201125880,undirected
0806893389732831,2402860645108428,undirected
8861821320530256,3313736441527210,undirected
1414046440611495,7645805665092232,undirected
7719479896871993,7677905285956620,undirected
3032618801971599,9242287015171384,undirected
1414046440611495,7645805665092232,undirected
4913726405596681,4080439371637715,undirected
8401962186278677,9778490919604593,undirected
8401962186278677,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
5523350812734008,6603480808884218,undirected
4791953150250289,6195088696542157,undirected
4080439371637715,6333149519672791,undirected
1159840059123495,7966792380099410,undirected
7540304062046337,7578128153022337,undirected
1404210682496858,0900326413960801,undirected
4080439371637715,0658814862350187,undirected
8520191196227908,9196373186050152,undirected
2268597352863613,5506513991215666,undirected
2268597352863613,5506513991215666,undirected
2268597352863613,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
4080439371637715,5506513991215666,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
4997752549394373,3134056986747443,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
8401962186278677,9778490919604593,undirected
6333149519672791,4080439371637715,undirected
0806893389732831,2402860645108428,undirected
0806893389732831,2402860645108428,undirected
2402860645108428,0806893389732831,undirected
0806893389732831,2402860645108428,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
1172479976966505,5506513991215666,undirected
9947142424896892,4079974860272595,undirected
4079974860272595,9947142424896892,undirected
7764017175870802,6926348689036257,undirected
4971893171417909,8439623112559941,undirected
6603480808884218,9356403913755132,undirected
6603480808884218,9356403913755132,undirected
8390682026043566,6195088696542157,undirected
8390682026043566,8980645523068866,undirected
0453510420437051,0676567404804858,undirected
0594538019851381,4738971255888795,undirected
5362513180111586,8390682026043566,undirected
5886777694278516,7417042733205654,undirected
4530013380984604,2268597352863613,undirected
4530013380984604,9409674734309199,undirected
4530013380984604,5506513991215666,undirected
2268597352863613,9409674734309199,undirected
2268597352863613,5506513991215666,undirected
9409674734309199,5506513991215666,undirected
6032064267919889,1536690328780417,undirected
5523350812734008,6603480808884218,undirected
5523350812734008,6603480808884218,undirected
6603480808884218,5523350812734008,undirected
5523350812734008,6603480808884218,undirected
8401962186278677,9778490919604593,undirected
2720114652322968,1011153318528001,undirected
2720114652322968,6244917011126916,undirected
1011153318528001,6244917011126916,undirected
5362513180111586,6517095824289547,undirected
5523350812734008,6603480808884218,undirected
8861821320530256,3313736441527210,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
3032618801971599,9242287015171384,undirected
8861821320530256,3313736441527210,undirected
3412284265072015,1075600690855372,undirected
4685137767864002,4997752549394373,undirected
9920574928553347,5948297956451420,undirected
2233167798012421,4080439371637715,undirected
2233167798012421,9669406790624196,undirected
4080439371637715,9669406790624196,undirected
4791953150250289,3625090170533723,undirected
4791953150250289,4738971255888795,undirected
3625090170533723,4738971255888795,undirected
8477467816197173,2720114652322968,undirected
3198576899533844,4467472261481697,undirected
0806893389732831,5886777694278516,undirected
4685137767864002,4997752549394373,undirected
5151065642581544,8667477201125880,undirected
1414046440611495,7645805665092232,undirected
7417042733205654,3240666714372269,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
6434939710218427,3021268770189132,undirected
6434939710218427,3021268770189132,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
5151065642581544,8667477201125880,undirected
5151065642581544,8667477201125880,undirected
8861821320530256,3313736441527210,undirected
8312095566023820,4738971255888795,undirected
1800142109998891,9091082575480314,undirected
8543256756101072,2072400238950589,undirected
8543256756101072,2072400238950589,undirected
0453510420437051,0676567404804858,undirected
0453510420437051,2895289064880221,undirected
0676567404804858,2895289064880221,undirected
1420694583758129,1096372300226539,undirected
1420694583758129,2895289064880221,undirected
1096372300226539,2895289064880221,undirected
3032618801971599,9242287015171384,undirected
3021268770189132,6434939710218427,undirected
0806893389732831,2402860645108428,undirected
0806893389732831,6434939710218427,undirected
0806893389732831,6434939710218427,undirected
5523350812734008,6603480808884218,undirected
7266773374683430,6828491371567757,undirected
8520191196227908,9196373186050152,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
4913726405596681,4080439371637715,undirected
4997752549394373,7540304062046337,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
6434939710218427,3021268770189132,undirected
3021268770189132,6434939710218427,undirected
8980645523068866,0886300382020774,undirected
5523350812734008,6603480808884218,undirected
3021268770189132,6434939710218427,undirected
0806893389732831,2402860645108428,undirected
0806893389732831,2402860645108428,undirected
6473075683971385,6333149519672791,undirected
8439623112559941,4971893171417909,undirected
9769937833285092,8933361259561564,undirected
9769937833285092,4997752549394373,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,5506513991215666,undirected
9769937833285092,9631665928287598,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,9631665928287598,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
9769937833285092,3021268770189132,undirected
8933361259561564,4997752549394373,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,5506513991215666,undirected
8933361259561564,9631665928287598,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,9769937833285092,undirected
8933361259561564,3021268770189132,undirected
8933361259561564,9631665928287598,undirected
