source,target,type
6747215104363265,0700137809969252,undirected
6747215104363265,1128682155965179,undirected
6747215104363265,1508584545879443,undirected
0700137809969252,1128682155965179,undirected
0700137809969252,1508584545879443,undirected
1128682155965179,1508584545879443,undirected
1808703911572925,4220998164028087,undirected
1808703911572925,0791723635171550,undirected
1808703911572925,1128682155965179,undirected
4220998164028087,0791723635171550,undirected
4220998164028087,1128682155965179,undirected
0791723635171550,1128682155965179,undirected
5169963931397212,1904786510399806,undirected
5169963931397212,1508584545879443,undirected
5169963931397212,0468589747802950,undirected
1904786510399806,1508584545879443,undirected
1904786510399806,0468589747802950,undirected
1508584545879443,0468589747802950,undirected
0816796365650938,6450945535491363,undirected
0816796365650938,1508584545879443,undirected
0816796365650938,6195088696542157,undirected
6450945535491363,1508584545879443,undirected
6450945535491363,6195088696542157,undirected
1508584545879443,6195088696542157,undirected
4565173010472935,9352141379363877,undirected
4586026517604541,9908522181921968,undirected
4586026517604541,9975336655023605,undirected
4586026517604541,2571118228946592,undirected
4586026517604541,3331091276265413,undirected
4586026517604541,9352141379363877,undirected
9908522181921968,9975336655023605,undirected
9908522181921968,2571118228946592,undirected
9908522181921968,3331091276265413,undirected
9908522181921968,9352141379363877,undirected
9975336655023605,2571118228946592,undirected
9975336655023605,3331091276265413,undirected
9975336655023605,9352141379363877,undirected
2571118228946592,3331091276265413,undirected
2571118228946592,9352141379363877,undirected
3331091276265413,9352141379363877,undirected
4397222274864480,1739997490142452,undirected
4397222274864480,9919214482621635,undirected
4397222274864480,1128682155965179,undirected
4397222274864480,9391979925933774,undirected
1739997490142452,9919214482621635,undirected
1739997490142452,1128682155965179,undirected
1739997490142452,9391979925933774,undirected
9919214482621635,1128682155965179,undirected
9919214482621635,9391979925933774,undirected
1128682155965179,9391979925933774,undirected
4038930548278283,7253952391162074,undirected
9908522181921968,9509432559167214,undirected
8181788948588711,2534222073519593,undirected
6099937165231009,6747215104363265,undirected
6099937165231009,8181788948588711,undirected
6099937165231009,9908522181921968,undirected
6099937165231009,6292440711622411,undirected
6747215104363265,8181788948588711,undirected
6747215104363265,9908522181921968,undirected
6747215104363265,6292440711622411,undirected
8181788948588711,9908522181921968,undirected
8181788948588711,6292440711622411,undirected
9908522181921968,6292440711622411,undirected
9908522181921968,9509432559167214,undirected
9908522181921968,3105496771923450,undirected
9908522181921968,6747215104363265,undirected
9908522181921968,0425133153453333,undirected
3105496771923450,6747215104363265,undirected
3105496771923450,0425133153453333,undirected
6747215104363265,0425133153453333,undirected
7029366093643246,2545904877423127,undirected
